ID de la cuenta;Estado de la cuenta;Imprimir (total);Imprimir (a todo color);Imprimir (a todo color) - Nivel 1;Imprimir (a todo color) - Nivel 2;Imprimir (a todo color) - Nivel 3;Imprimir (un solo color);Imprimir (blanco y negro);Copia (total);Copia (a todo color);Copia (a todo color) - Nivel 1;Copia (a todo color) - Nivel 2;Copia (a todo color) - Nivel 3;Copia (un solo color);Copia (blanco y negro);Recibir FAX;Escanear (total);Escanear (copia);Escanear (FAX);Escanear (en otro);Páginas de transmisión de FAX;Tiempo de transmisión del FAX;Marca de tiempo
"0000";"Normal";"198";"";"";"";"";"";"198";"252";"";"";"";"";"";"252";"0";"167";"167";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0104";"Normal";"30";"";"";"";"";"";"30";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0116";"Normal";"18";"";"";"";"";"";"18";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0207";"Normal";"612";"";"";"";"";"";"612";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0218";"Normal";"122";"";"";"";"";"";"122";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0306";"Normal";"62";"";"";"";"";"";"62";"1";"";"";"";"";"";"1";"0";"1";"1";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0325";"Normal";"273";"";"";"";"";"";"273";"18";"";"";"";"";"";"18";"0";"103";"18";"0";"85";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0408";"Normal";"9";"";"";"";"";"";"9";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0409";"Normal";"35";"";"";"";"";"";"35";"9";"";"";"";"";"";"9";"0";"43";"9";"0";"34";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0424";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0477";"Normal";"73";"";"";"";"";"";"73";"9";"";"";"";"";"";"9";"0";"6";"3";"0";"3";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0505";"Normal";"21";"";"";"";"";"";"21";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0525";"Normal";"5";"";"";"";"";"";"5";"6";"";"";"";"";"";"6";"0";"6";"6";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0624";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0712";"Normal";"113";"";"";"";"";"";"113";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0729";"Normal";"50";"";"";"";"";"";"50";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0803";"Normal";"230";"";"";"";"";"";"230";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0819";"Normal";"56";"";"";"";"";"";"56";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0821";"Normal";"28";"";"";"";"";"";"28";"2";"";"";"";"";"";"2";"0";"2";"2";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0825";"Normal";"8";"";"";"";"";"";"8";"2";"";"";"";"";"";"2";"0";"3";"1";"0";"2";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0826";"Normal";"19";"";"";"";"";"";"19";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"0934";"Normal";"0";"";"";"";"";"";"0";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1004";"Normal";"284";"";"";"";"";"";"284";"23";"";"";"";"";"";"23";"0";"125";"25";"0";"100";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1010";"Normal";"32";"";"";"";"";"";"32";"20";"";"";"";"";"";"20";"0";"20";"20";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1102";"Normal";"48";"";"";"";"";"";"48";"1";"";"";"";"";"";"1";"0";"1";"1";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1111";"Normal";"61";"";"";"";"";"";"61";"4";"";"";"";"";"";"4";"0";"2";"1";"0";"1";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1119";"Normal";"123";"";"";"";"";"";"123";"0";"";"";"";"";"";"0";"0";"5";"0";"0";"5";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1121";"Normal";"123";"";"";"";"";"";"123";"3";"";"";"";"";"";"3";"0";"93";"3";"0";"90";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1122";"Normal";"219";"";"";"";"";"";"219";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1210";"Normal";"64";"";"";"";"";"";"64";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
"1212";"Normal";"103";"";"";"";"";"";"103";"0";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"000h00m00s";"3/12/2025 5:16:14 p. m."
